This file was created by CMPT_ME_PRIOR_RETS using the 202111 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
197108,   3.61
197109,   2.12
197110,   0.47
197111,   1.51
197112,  -0.58
197201,   0.17
197202,   2.54
197203,   2.94
197204,   2.81
197205,   3.29
197206,   1.90
197207,   2.70
197208,  -5.40
197209,   1.82
197210,   0.71
197211,  -5.09
197212,   4.92
197301,   3.73
197302,   2.16
197303,   3.59
197304,   6.36
197305,   7.14
197306,   4.30
197307, -11.57
197308,   3.46
197309,  -7.00
197310,   6.87
197311,   8.66
197312,  10.38
197401,  -8.85
197402,   0.32
197403,  -1.05
197404,   2.11
197405,  -0.39
197406,   2.31
197407,   3.09
197408,   3.00
197409,   4.24
197410,  -0.54
197411,   2.14
197412,   2.92
197501, -13.82
197502,  -0.60
197503,  -2.04
197504,   1.38
197505,  -0.58
197506,   0.02
197507,   0.45
197508,  -0.10
197509,   0.41
197510,  -0.16
197511,  -0.45
197512,  -0.11
197601,   4.45
197602,   0.38
197603,   0.15
197604,   0.59
197605,  -1.12
197606,  -0.42
197607,  -0.13
197608,  -0.85
197609,   0.22
197610,  -0.44
197611,   2.89
197612,   0.73
197701,   4.01
197702,   0.36
197703,   0.55
197704,   4.21
197705,   2.03
197706,   1.66
197707,   0.36
197708,  -1.70
197709,   2.00
197710,  -0.08
197711,   2.01
197712,   1.58
197801,  -0.66
197802,   1.97
197803,   1.37
197804,   0.86
197805,   2.83
197806,   2.75
197807,   4.18
197808,   2.83
197809,  -3.14
197810,  -8.46
197811,   5.47
197812,   3.03
197901,  -1.36
197902,  -1.06
197903,   2.93
197904,   0.81
197905,  -0.54
197906,   0.84
197907,  -1.07
197908,  -0.21
197909,   5.28
197910,   2.01
197911,   8.14
197912,   4.78
198001,   7.55
198002,   7.88
198003,  -9.55
198004,  -0.43
198005,  -1.12
198006,   1.62
198007,   0.35
198008,   3.21
198009,   5.39
198010,   7.30
198011,  15.22
198012,  -6.68
198101,  -7.95
198102,  -1.35
198103,   0.74
198104,  -0.91
198105,   3.70
198106,  -5.81
198107,  -2.45
198108,  -1.15
