Date,frequency,factor_name,factor_value
2017/07/31,MONTHLY,BBBSpread,1.41
2017/08/31,MONTHLY,BBBSpread,1.48
2017/09/30,MONTHLY,BBBSpread,1.37
2017/10/31,MONTHLY,BBBSpread,1.3
2017/11/30,MONTHLY,BBBSpread,1.32
2017/12/31,MONTHLY,BBBSpread,1.28
2018/01/31,MONTHLY,BBBSpread,1.17
2018/02/28,MONTHLY,BBBSpread,1.28
2018/03/31,MONTHLY,BBBSpread,1.45
2018/04/30,MONTHLY,BBBSpread,1.44
2018/05/31,MONTHLY,BBBSpread,1.54
2018/06/30,MONTHLY,BBBSpread,1.63
2018/07/31,MONTHLY,BBBSpread,1.47
2018/08/31,MONTHLY,BBBSpread,1.53
2018/09/30,MONTHLY,BBBSpread,1.43
2018/10/31,MONTHLY,BBBSpread,1.58
2018/11/30,MONTHLY,BBBSpread,1.84
2018/12/31,MONTHLY,BBBSpread,2.02
2019/01/31,MONTHLY,BBBSpread,1.79
2019/02/28,MONTHLY,BBBSpread,1.68
2019/03/31,MONTHLY,BBBSpread,1.63
2019/04/30,MONTHLY,BBBSpread,1.5
2019/05/31,MONTHLY,BBBSpread,1.71
2019/06/30,MONTHLY,BBBSpread,1.57
2019/07/31,MONTHLY,BBBSpread,1.47
2019/08/31,MONTHLY,BBBSpread,1.62
2019/09/30,MONTHLY,BBBSpread,1.56
2019/10/31,MONTHLY,BBBSpread,1.5
2019/11/30,MONTHLY,BBBSpread,1.44
2019/12/31,MONTHLY,BBBSpread,1.3
2020/01/31,MONTHLY,BBBSpread,1.39
2020/02/29,MONTHLY,BBBSpread,1.64
2020/03/31,MONTHLY,BBBSpread,3.96
2020/04/30,MONTHLY,BBBSpread,2.82
2020/05/31,MONTHLY,BBBSpread,2.44
2020/06/30,MONTHLY,BBBSpread,2.07
2020/07/31,MONTHLY,BBBSpread,1.85
2020/08/31,MONTHLY,BBBSpread,1.76
2020/09/30,MONTHLY,BBBSpread,1.84
2020/10/31,MONTHLY,BBBSpread,1.71
2020/11/30,MONTHLY,BBBSpread,1.43
2020/12/31,MONTHLY,BBBSpread,1.3
2021/01/31,MONTHLY,BBBSpread,1.28
2021/02/28,MONTHLY,BBBSpread,1.19
2021/03/31,MONTHLY,BBBSpread,1.19
2021/04/30,MONTHLY,BBBSpread,1.17
2021/05/31,MONTHLY,BBBSpread,1.13
2021/06/30,MONTHLY,BBBSpread,1.07
2021/07/31,MONTHLY,BBBSpread,1.13
2021/08/31,MONTHLY,BBBSpread,1.14
2021/09/30,MONTHLY,BBBSpread,1.1
2010/01/31,MONTHLY,RateChg,0.14
2010/02/28,MONTHLY,RateChg,-0.04
2010/03/31,MONTHLY,RateChg,0.04
2010/04/30,MONTHLY,RateChg,0.12
2010/05/31,MONTHLY,RateChg,-0.43
2010/06/30,MONTHLY,RateChg,-0.22
2010/07/31,MONTHLY,RateChg,-0.19
2010/08/31,MONTHLY,RateChg,-0.31
2010/09/30,MONTHLY,RateChg,-0.05
2010/10/31,MONTHLY,RateChg,-0.11
2010/11/30,MONTHLY,RateChg,0.22
2010/12/31,MONTHLY,RateChg,0.53
2011/01/31,MONTHLY,RateChg,0.1
2011/02/28,MONTHLY,RateChg,0.19
2011/03/31,MONTHLY,RateChg,-0.17
2011/04/30,MONTHLY,RateChg,0.05
2011/05/31,MONTHLY,RateChg,-0.29
