Ticker,Name,Weight,Market Value,Sector,Country
6268.T,NABTESCO CORP,0.01,USD 600301.94,Industrials,JP
6273.T,SMC (JAPAN) CORP,0.07,USD 4542202.30,Industrials,JP
6301.T,KOMATSU LTD,0.04,USD 2194313.56,Industrials,JP
6305.T,HITACHI CONSTRUCTION MACHINERY LTD,0.01,USD 509515.53,Industrials,JP
6324.T,HARMONIC DRIVE SYSTEMS INC,0.01,USD 340216.84,Industrials,JP
6326.T,KUBOTA CORP,0.04,USD 2683958.10,Industrials,JP
6367.T,DAIKIN INDUSTRIES LTD,0.11,USD 6725755.98,Industrials,JP
6370.T,KURITA WATER INDUSTRIES LTD,0.01,USD 430074.57,Industrials,JP
6383.T,DAIFUKU LTD,0.02,USD 1132933.80,Industrials,JP
6448.T,BROTHER INDUSTRIES LTD,0.01,USD 560730.13,Information Technology,JP
6465.T,HOSHIZAKI CORP,0.01,USD 357052.02,Industrials,JP
6471.T,NSK LTD,0.01,USD 405224.39,Industrials,JP
6479.T,MINEBEA MITSUMI INC,0.02,USD 1146713.02,Industrials,JP
6481.T,THK LTD,0.01,USD 385651.68,Industrials,JP
6501.T,HITACHI LTD,0.09,USD 5775435.29,Industrials,JP
6502.T,TOSHIBA CORP,0.03,USD 1685712.98,Industrials,JP
6503.T,MITSUBISHI ELECTRIC CORP,0.05,USD 2835703.37,Industrials,JP
6504.T,FUJI ELECTRIC LTD,0.01,USD 701312.96,Industrials,JP
6506.T,YASKAWA ELECTRIC CORP,0.02,USD 1328331.58,Industrials,JP
6586.T,MAKITA CORP,0.02,USD 1487295.85,Industrials,JP
6594.T,NIDEC CORP,0.09,USD 5607145.80,Industrials,JP
66.HK,MTR CORPORATION CORP LTD,0.01,USD 665253.01,Industrials,HK
6645.T,OMRON CORP,0.03,USD 2144654.38,Information Technology,JP
669.HK,TECHTRONIC INDUSTRIES LTD,0.05,USD 2917102.01,Industrials,HK
6701.T,NEC CORP,0.02,USD 1354462.69,Information Technology,JP
6702.T,FUJITSU LTD,0.07,USD 4219227.78,Information Technology,JP
6723.T,RENESAS ELECTRONICS CORP,0.02,USD 1500617.59,Information Technology,JP
6724.T,SEIKO EPSON CORP,0.01,USD 505419.28,Information Technology,JP
6752.T,PANASONIC CORP,0.04,USD 2752195.43,Consumer Discretionary,JP
6753.T,SHARP CORP,0,USD 284302.12,Consumer Discretionary,JP
6758.T,SONY GROUP CORP,0.23,USD 14252802.05,Consumer Discretionary,JP
6762.T,TDK CORP,0.02,USD 1535568.87,Information Technology,JP
6806.T,HIROSE ELECTRIC LTD,0.01,USD 527817.83,Information Technology,JP
6823.HK,HKT TRUST AND HKT UNITS LTD,0.01,USD 474471.63,Communication,HK
6841.T,YOKOGAWA ELECTRIC CORP,0.01,USD 438784.94,Information Technology,JP
6845.T,AZBIL CORP,0.01,USD 445875.84,Information Technology,JP
6857.T,ADVANTEST CORP,0.04,USD 2493343.70,Information Technology,JP
6861.T,KEYENCE CORP,0.21,USD 13209672.90,Information Technology,JP
6869.T,SYSMEX CORP,0.03,USD 2144494.26,Health Care,JP
6902.T,DENSO CORP,0.05,USD 3203902.28,Consumer Discretionary,JP
6920.T,LASERTEC CORP,0.03,USD 1932952.10,Information Technology,JP
6923.T,STANLEY ELECTRIC LTD,0.01,USD 478909.37,Consumer Discretionary,JP
6952.T,CASIO COMPUTER LTD,0.01,USD 406992.09,Consumer Discretionary,JP
6954.T,FANUC CORP,0.08,USD 5115549.66,Industrials,JP
6963.T,ROHM LTD,0.02,USD 935642.07,Information Technology,JP
6965.T,HAMAMATSU PHOTONICS,0.02,USD 987419.37,Information Technology,JP
6971.T,KYOCERA CORP,0.03,USD 1846075.30,Information Technology,JP
6981.T,MURATA MANUFACTURING LTD,0.09,USD 5534457.20,Information Technology,JP
6988.T,NITTO DENKO CORP,0.02,USD 1335449.93,Materials,JP
7011.T,MITSUBISHI HEAVY INDUSTRIES LTD,0.01,USD 701592.02,Industrials,JP
7181.T,JAPAN POST INSURANCE LTD,0,USD 136891.90,Financials,JP
7182.T,JAPAN POST BANK LTD,0.01,USD 312187.20,Financials,JP
7186.T,CONCORDIA FINANCIAL GROUP LTD,0.01,USD 382974.52,Financials,JP
7201.T,NISSAN MOTOR LTD,0.02,USD 1153231.90,Consumer Discretionary,JP
7202.T,ISUZU MOTORS LTD,0.01,USD 640302.85,Consumer Discretionary,JP
7203.T,TOYOTA MOTOR CORP,0.32,USD 19752903.61,Consumer Discretionary,JP
7205.T,HINO MOTORS LTD,0,USD 220807.91,Industrials,JP
7259.T,AISIN CORP,0.02,USD 929832.11,Consumer Discretionary,JP
7261.T,MAZDA MOTOR CORP,0.01,USD 549851.32,Consumer Discretionary,JP
7267.T,HONDA MOTOR LTD,0.08,USD 5019080.47,Consumer Discretionary,JP
7269.T,SUZUKI MOTOR CORP,0.03,USD 1641560.91,Consumer Discretionary,JP
7270.T,SUBARU CORP,0.02,USD 1261985.45,Consumer Discretionary,JP
7272.T,YAMAHA MOTOR LTD,0.01,USD 691385.70,Consumer Discretionary,JP
7276.T,KOITO MANUFACTURING LTD,0.01,USD 901697.24,Consumer Discretionary,JP
7309.T,SHIMANO INC,0.04,USD 2641996.43,Consumer Discretionary,JP
7453.T,RYOHIN KEIKAKU LTD,0.01,USD 562689.97,Consumer Discretionary,JP
7459.T,MEDIPAL HOLDINGS CORP,0.01,USD 480812.48,Health Care,JP
7532.T,PAN PACIFIC INTERNATIONAL HOLDINGS,0.02,USD 961266.30,Consumer Discretionary,JP
7701.T,SHIMADZU CORP,0.02,USD 1180255.27,Information Technology,JP
7733.T,OLYMPUS CORP,0.04,USD 2559992.68,Health Care,JP
7741.T,HOYA CORP,0.1,USD 6455578.94,Health Care,JP
7747.T,ASAHI INTECC LTD,0.01,USD 716428.02,Health Care,JP
7751.T,CANON INC,0.04,USD 2618381.44,Information Technology,JP
7752.T,RICOH LTD,0.01,USD 706594.08,Information Technology,JP
7832.T,BANDAI NAMCO HOLDINGS INC,0.03,USD 1903216.07,Consumer Discretionary,JP
7911.T,TOPPAN PRINTING INC,0.01,USD 444664.44,Industrials,JP
7912.T,DAI NIPPON PRINTING LTD,0.01,USD 676179.15,Industrials,JP
7951.T,YAMAHA CORP,0.01,USD 753190.91,Consumer Discretionary,JP
7956.T,PIGEON CORP,0.01,USD 422709.18,Consumer Staples,JP
7974.T,NINTENDO LTD,0.09,USD 5325147.54,Communication,JP
8001.T,ITOCHU CORP,0.06,USD 3765368.96,Industrials,JP
8002.T,MARUBENI CORP,0.02,USD 1424101.01,Industrials,JP
8015.T,TOYOTA TSUSHO CORP,0.02,USD 1067020.45,Industrials,JP
8031.T,MITSUI LTD,0.06,USD 3942124.53,Industrials,JP
8035.T,TOKYO ELECTRON LTD,0.12,USD 7698458.30,Information Technology,JP
8053.T,SUMITOMO CORP,0.03,USD 1684476.87,Industrials,JP
8058.T,MITSUBISHI CORP,0.07,USD 4233281.49,Industrials,JP
8113.T,UNICHARM CORP,0.03,USD 1934507.53,Consumer Staples,JP
823.HK,LINK REAL ESTATE INVESTMENT TRUST,0.03,USD 1909461.85,Real Estate,HK
8267.T,AEON LTD,0.03,USD 1941234.27,Consumer Staples,JP
83.HK,SINO LAND LTD,0.01,USD 673535.74,Real Estate,HK
8306.T,MITSUBISHI UFJ FINANCIAL GROUP INC,0.12,USD 7396422.07,Financials,JP
8308.T,RESONA HOLDINGS INC,0.01,USD 857122.47,Financials,JP
8309.T,SUMITOMO MITSUI TRUST HOLDINGS INC,0.02,USD 1091020.63,Financials,JP
8316.T,SUMITOMO MITSUI FINANCIAL GROUP IN,0.07,USD 4556713.04,Financials,JP
8331.T,CHIBA BANK LTD,0.01,USD 562781.46,Financials,JP
8355.T,SHIZUOKA BANK LTD,0.01,USD 407146.71,Financials,JP
8411.T,MIZUHO FINANCIAL GROUP INC,0.06,USD 3596747.68,Financials,JP
8473.T,SBI HOLDINGS INC,0.01,USD 621161.54,Financials,JP
8591.T,ORIX CORP,0.04,USD 2732411.36,Financials,JP
8593.T,MITSUBISHI HC CAPITAL INC,0,USD 284292.05,Financials,JP
8601.T,DAIWA SECURITIES GROUP INC,0.02,USD 1132408.44,Financials,JP
8604.T,NOMURA HOLDINGS INC,0.03,USD 1595660.73,Financials,JP
8630.T,SOMPO HOLDINGS INC,0.03,USD 1629033.35,Financials,JP
868.HK,XINYI GLASS HOLDINGS LTD,0.01,USD 646721.29,Industrials,KY
8697.T,JAPAN EXCHANGE GROUP INC,0.02,USD 1442078.78,Financials,JP
8725.T,MS&AD INSURANCE GROUP HOLDINGS INC,0.03,USD 1770342.65,Financials,JP
8750.T,DAI-ICHI LIFE HOLDINGS INC,0.04,USD 2612891.72,Financials,JP
8766.T,TOKIO MARINE HOLDINGS INC,0.06,USD 3696303.58,Financials,JP
8795.T,T&D HOLDINGS INC,0.02,USD 947823.78,Financials,JP
880.HK,SJM HLDGS LTD,0,USD 155365.03,Consumer Discretionary,HK
8801.T,MITSUI FUDOSAN LTD,0.03,USD 1916236.79,Real Estate,JP
8802.T,MITSUBISHI ESTATE CO LTD,0.03,USD 1999426.78,Real Estate,JP
8830.T,SUMITOMO REALTY & DEVELOPMENT LTD,0.02,USD 1084437.53,Real Estate,JP
8951.T,NIPPON BUILDING FUND REIT INC,0.02,USD 1169257.51,Real Estate,JP
8952.T,JAPAN REAL ESTATE INVESTMENT TRUST,0.01,USD 665318.63,Real Estate,JP
8953.T,JAPAN METROPOLITAN FUND INVESTMENT,0.01,USD 459064.92,Real Estate,JP
8954.T,ORIX JREIT REIT INC,0.01,USD 428114.74,Real Estate,JP
8960.T,UNITED URBAN INVESTMENT REIT CORP,0.01,USD 317649.48,Real Estate,JP
