This file was created by CMPT_ME_BEME_RETS using the 202111 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

,Mkt-RF,SMB,HML,RF
197310,   -0.83,   -0.28,    1.60,    0.65
197311,  -12.75,   -7.72,    3.99,    0.56
197312,    0.61,   -5.37,    3.94,    0.64
197401,   -0.17,    9.72,    6.00,    0.63
197402,   -0.47,   -0.02,    2.50,    0.58
197403,   -2.81,    2.50,   -0.12,    0.56
197404,   -5.29,   -0.74,    0.87,    0.75
197405,   -4.68,   -2.96,   -2.07,    0.75
197406,   -2.83,   -0.17,    0.79,    0.60
197407,   -8.05,    0.84,    5.17,    0.70
197408,   -9.35,   -0.72,    2.64,    0.60
197409,  -11.77,    0.27,    5.59,    0.81
197410,   16.10,   -3.46,   -9.88,    0.51
197411,   -4.51,   -1.22,   -0.20,    0.54
197412,   -3.45,   -4.83,    0.11,    0.70
197501,   13.66,   11.15,    8.27,    0.58
197502,    5.56,    0.16,   -4.44,    0.43
197503,    2.66,    3.78,    2.39,    0.41
197504,    4.23,   -0.66,   -1.13,    0.44
197505,    5.19,    3.84,   -4.10,    0.44
197506,    4.83,    0.86,    1.40,    0.41
197507,   -6.59,    2.70,    1.69,    0.48
197508,   -2.85,   -3.24,   -0.94,    0.48
197509,   -4.26,   -0.10,    0.43,    0.53
197510,    5.31,   -4.01,    0.27,    0.56
197511,    2.64,   -1.21,    2.05,    0.41
197512,   -1.60,   -0.77,    1.69,    0.48
197601,   12.16,    4.78,    8.57,    0.47
197602,    0.32,    7.04,    5.82,    0.34
197603,    2.32,   -1.18,   -0.11,    0.40
197604,   -1.49,   -0.11,   -0.14,    0.42
197605,   -1.34,   -1.23,   -1.35,    0.37
197606,    4.05,   -1.30,    0.69,    0.43
197607,   -1.07,    0.29,    1.73,    0.47
197608,   -0.56,   -2.00,    0.81,    0.42
197609,    2.07,   -0.02,   -0.29,    0.44
197610,   -2.42,    0.22,   -0.18,    0.41
197611,    0.36,    2.32,    1.51,    0.40
197612,    5.65,    3.03,    2.27,    0.40
197701,   -4.05,    4.76,    4.27,    0.36
197702,   -1.94,    1.04,    0.47,    0.35
197703,   -1.37,    1.00,    1.09,    0.38
197704,    0.15,   -0.12,    3.38,    0.38
197705,   -1.45,    1.18,    0.85,    0.37
197706,    4.71,    2.09,   -0.74,    0.40
197707,   -1.69,    2.16,   -0.57,    0.42
197708,   -1.75,    1.49,   -2.73,    0.44
197709,   -0.27,    1.33,   -0.46,    0.43
197710,   -4.38,    1.25,    1.81,    0.49
197711,    4.00,    3.72,    0.23,    0.50
197712,    0.27,    1.32,   -0.30,    0.49
197801,   -6.01,    2.24,    3.36,    0.49
197802,   -1.38,    3.59,    0.83,    0.46
197803,    2.85,    3.48,    1.16,    0.53
197804,    7.88,    0.44,   -3.57,    0.54
197805,    1.76,    4.56,   -0.53,    0.51
197806,   -1.69,    1.66,    0.57,    0.54
197807,    5.11,    0.25,   -1.11,    0.56
197808,    3.75,    5.06,   -0.57,    0.56
197809,   -1.43,   -0.43,    1.86,    0.62
197810,  -11.91,   -9.89,    1.39,    0.68
197811,    2.71,    3.00,   -2.14,    0.70
197812,    0.88,    1.29,   -2.13,    0.78
197901,    4.23,    3.62,    2.20,    0.77
197902,   -3.56,    0.45,    1.14,    0.73
197903,    5.68,    3.22,   -0.73,    0.81
197904,   -0.06,    2.18,    1.08,    0.80
197905,   -2.21,    0.19,    1.32,    0.82
197906,    3.85,    1.16,    1.39,    0.81
197907,    0.82,    1.28,    1.86,    0.77
197908,    5.53,    2.05,   -1.58,    0.77
197909,   -0.82,   -0.27,   -0.90,    0.83
197910,   -8.10,   -3.37,   -1.86,    0.87
197911,    5.21,    2.87,   -3.28,    0.99
197912,    1.79,    4.17,   -2.10,    0.95
198001,    5.51,    1.62,    1.75,    0.80
198002,   -1.22,   -1.85,    0.61,    0.89
198003,  -12.90,   -6.64,   -1.01,    1.21
198004,    3.97,    1.05,    1.08,    1.26
198005,    5.26,    2.13,    0.38,    0.81
198006,    3.06,    1.66,   -0.76,    0.61
198007,    6.49,    4.14,   -6.41,    0.53
198008,    1.80,    3.93,   -2.61,    0.64
198009,    2.19,    0.97,   -4.58,    0.75
198010,    1.06,    2.50,   -2.79,    0.95
198011,    9.59,   -3.36,   -8.33,    0.96
198012,   -4.52,   -0.26,    2.79,    1.31
198101,   -5.04,    2.92,    6.72,    1.04
198102,    0.57,   -0.34,    1.02,    1.07
198103,    3.56,    3.54,    0.64,    1.21
198104,   -2.11,    4.40,    2.28,    1.08
198105,    0.11,    2.00,   -0.42,    1.15
198106,   -2.36,   -0.83,    5.13,    1.35
198107,   -1.54,   -2.18,   -0.49,    1.24
198108,   -7.04,   -1.94,    4.79,    1.28
198109,   -7.17,   -2.65,    5.17,    1.24
198110,    4.92,    2.23,   -4.21,    1.21
198111,    3.36,   -1.03,    1.85,    1.07
198112,   -3.65,    1.20,    0.82,    0.87
198201,   -3.24,   -1.28,    3.19,    0.80
198202,   -5.86,    0.44,    6.05,    0.92
198203,   -1.87,   -0.21,    3.83,    0.98
198204,    3.27,    1.47,   -2.70,    1.13
198205,   -3.99,    0.52,    1.76,    1.06
198206,   -3.09,   -0.40,    1.55,    0.96
198207,   -3.19,    0.83,    0.09,    1.05
198208,   11.14,   -4.13,    0.93,    0.76
198209,    1.29,    2.96,    0.27,    0.51
198210,   11.30,    2.35,   -3.67,    0.59
198211,    4.67,    4.66,   -1.85,    0.63
198212,    0.55,   -0.25,    0.01,    0.67
198301,    3.60,    2.71,   -0.71,    0.69
198302,    2.59,    3.28,    0.70,    0.62
198303,    2.82,    1.74,    2.01,    0.63
198304,    6.67,    0.49,    0.51,    0.71
198305,    0.52,    6.26,   -1.42,    0.69
198306,    3.07,    0.95,   -3.91,    0.67
198307,   -4.07,    1.49,    5.62,    0.74
198308,   -0.50,   -4.27,    5.54,    0.76
198309,    0.91,    0.62,    1.01,    0.76
198310,   -3.44,   -3.57,    4.97,    0.76
198311,    2.16,    2.02,   -0.73,    0.70
198312,   -1.78,   -0.27,    1.70,    0.73
198401,   -1.92,   -0.37,    7.57,    0.76
198402,   -4.82,   -1.69,    3.34,    0.71
198403,    0.63,    0.07,    0.47,    0.73
198404,   -0.51,   -1.16,    1.19,    0.81
198405,   -5.97,    0.07,    0.29,    0.78
198406,    1.82,   -0.31,   -2.66,    0.75
198407,   -2.74,   -2.21,    0.33,    0.82
198408,   10.28,   -0.24,   -1.80,    0.83
198409,   -0.80,    0.18,    5.23,    0.86
198410,   -0.84,   -1.23,    0.47,    1.00
198411,   -1.76,   -0.63,    4.04,    0.73
198412,    1.84,   -0.56,   -0.25,    0.64
198501,    7.99,    3.30,   -5.33,    0.65
198502,    1.22,    0.80,   -0.10,    0.58
198503,   -0.84,   -1.07,    4.07,    0.62
198504,   -0.96,    0.15,    3.72,    0.72
198505,    5.09,   -2.22,   -0.94,    0.66
198506,    1.27,    0.52,    0.41,    0.55
198507,   -0.74,    2.85,   -1.60,    0.62
198508,   -1.02,   -0.31,    2.28,    0.55
198509,   -4.54,   -1.59,    1.29,    0.60
198510,    4.02,   -1.51,    0.75,    0.65
198511,    6.48,    0.25,   -2.84,    0.61
198512,    3.88,   -0.51,   -1.54,    0.65
198601,    0.65,    1.21,    0.44,    0.56
198602,    7.13,   -0.56,   -0.77,    0.53
198603,    4.88,   -0.58,   -0.37,    0.60
198604,   -1.31,    2.78,   -2.86,    0.52
198605,    4.62,   -1.35,   -0.21,    0.49
198606,    1.03,   -0.95,    1.30,    0.52
198607,   -6.45,   -3.36,    4.70,    0.52
198608,    6.07,   -4.17,    3.51,    0.46
198609,   -8.60,    2.36,    3.22,    0.45
198610,    4.66,   -2.50,   -1.42,    0.46
198611,    1.17,   -1.91,   -0.07,    0.39
198612,   -3.27,    0.13,    0.36,    0.49
198701,   12.47,   -1.81,   -3.16,    0.42
198702,    4.39,    3.49,   -5.91,    0.43
198703,    1.64,    0.45,    1.61,    0.47
198704,   -2.11,   -1.69,   -0.39,    0.44
198705,    0.11,   -0.50,    0.23,    0.38
198706,    3.94,   -2.12,    1.04,    0.48
198707,    3.85,   -0.66,    0.73,    0.46
198708,    3.52,   -0.77,   -0.95,    0.47
198709,   -2.59,    0.56,    0.30,    0.45
198710,  -23.24,   -8.40,    4.23,    0.60
198711,   -7.77,    2.75,    2.96,    0.35
198712,    6.81,    0.12,   -4.39,    0.39
198801,    4.21,   -0.76,    4.95,    0.29
198802,    4.75,    3.34,   -1.69,    0.46
198803,   -2.27,    6.14,    0.74,    0.44
198804,    0.56,    0.98,    1.63,    0.46
198805,   -0.29,   -2.61,    2.42,    0.51
198806,    4.79,    2.10,   -1.22,    0.49
198807,   -1.25,   -0.26,    2.17,    0.51
198808,   -3.31,    0.04,    2.10,    0.59
198809,    3.30,   -1.30,   -0.75,    0.62
198810,    1.15,   -2.92,    1.69,    0.61
198811,   -2.29,   -1.71,    1.30,    0.57
198812,    1.49,    1.97,   -1.61,    0.63
198901,    6.10,   -2.22,    0.62,    0.55
198902,   -2.25,    2.82,    0.93,    0.61
198903,    1.57,    0.67,    0.54,    0.67
198904,    4.33,   -0.68,   -1.40,    0.67
198905,    3.35,   -0.05,   -0.87,    0.79
198906,   -1.35,   -1.02,    2.23,    0.71
198907,    7.20,   -4.16,   -2.79,    0.70
198908,    1.44,    0.56,    0.60,    0.74
198909,   -0.76,    0.32,   -1.27,    0.65
198910,   -3.67,   -3.24,   -1.11,    0.68
198911,    1.03,   -1.24,   -1.09,    0.69
198912,    1.16,   -2.37,    0.16,    0.61
199001,   -7.85,   -1.25,    0.85,    0.57
199002,    1.11,    0.97,    0.64,    0.57
199003,    1.83,    1.46,   -2.92,    0.64
199004,   -3.36,   -0.45,   -2.59,    0.69
199005,    8.42,   -2.56,   -3.83,    0.68
199006,   -1.09,    1.36,   -1.93,    0.63
199007,   -1.90,   -3.09,   -0.04,    0.68
199008,  -10.15,   -3.56,    1.60,    0.66
199009,   -6.12,   -3.67,    0.61,    0.60
199010,   -1.92,   -5.53,    0.00,    0.68
199011,    6.35,    0.45,   -2.97,    0.57
199012,    2.46,    0.82,   -1.63,    0.60
199101,    4.69,    3.83,   -1.57,    0.52
199102,    7.19,    3.99,   -0.63,    0.48
199103,    2.65,    3.90,   -1.30,    0.44
199104,   -0.28,    0.48,    1.45,    0.53
199105,    3.65,   -0.40,   -0.49,    0.47
199106,   -4.94,    0.15,    1.07,    0.42
199107,    4.24,   -0.91,   -1.32,    0.49
199108,    2.32,    1.59,   -0.78,    0.46
199109,   -1.59,    1.64,   -1.07,    0.46
199110,    1.29,    0.81,   -0.46,    0.42
199111,   -4.19,   -0.50,   -1.88,    0.39
199112,   10.84,   -2.24,   -4.18,    0.38
199201,   -0.59,    8.46,    4.70,    0.34
199202,    1.09,    0.87,    6.47,    0.28
199203,   -2.66,   -1.04,    3.55,    0.34
199204,    1.07,   -6.06,    4.32,    0.32
199205,    0.30,    0.41,    1.19,    0.28
199206,   -2.34,   -3.07,    3.25,    0.32
199207,    3.77,   -0.51,   -0.55,    0.31
199208,   -2.38,   -0.14,   -1.08,    0.26
199209,    1.19,    0.49,   -0.23,    0.26
199210,    1.02,    2.10,   -1.98,    0.23
199211,    4.13,    3.79,   -1.42,    0.23
199212,    1.53,    1.67,    2.65,    0.28
199301,    0.93,    1.85,    5.95,    0.23
199302,    0.12,   -3.49,    6.44,    0.22
199303,    2.30,    0.23,    1.19,    0.25
199304,   -3.05,   -0.68,    2.48,    0.24
199305,    2.89,    2.08,   -3.50,    0.22
199306,    0.31,   -0.26,    2.72,    0.25
199307,   -0.34,    0.90,    2.82,    0.24
199308,    3.71,    0.14,    0.14,    0.25
199309,   -0.12,    2.98,   -0.35,    0.26
199310,    1.41,    2.03,   -2.78,    0.22
199311,   -1.89,   -1.13,   -0.66,    0.25
199312,    1.65,    1.20,    0.27,    0.23
199401,    2.87,    0.51,    1.28,    0.25
199402,   -2.55,    2.80,   -1.56,    0.21
199403,   -4.78,   -1.14,    1.55,    0.27
199404,    0.68,   -0.92,    1.66,    0.27
199405,    0.58,   -2.12,    0.70,    0.31
199406,   -3.03,   -0.40,    1.67,    0.31
199407,    2.82,   -1.76,    0.57,    0.28
199408,    4.01,    1.43,   -2.50,    0.37
199409,   -2.31,    3.11,   -1.84,    0.37
199410,    1.34,   -2.26,   -1.63,    0.38
199411,   -4.04,    0.31,   -0.73,    0.37
199412,    0.86,    0.19,   -0.09,    0.44
199501,    1.80,   -3.44,    2.51,    0.42
199502,    3.63,   -0.66,    1.09,    0.40
199503,    2.19,   -0.21,   -2.08,    0.46
199504,    2.11,   -0.49,    1.70,    0.44
199505,    2.90,   -2.52,    2.27,    0.54
199506,    2.72,    3.15,   -2.54,    0.47
199507,    3.72,    2.06,   -1.59,    0.45
199508,    0.55,    1.36,    2.81,    0.47
199509,    3.35,   -2.20,   -0.05,    0.43
199510,   -1.52,   -3.80,   -0.51,    0.47
199511,    3.96,   -1.11,    0.58,    0.42
199512,    1.03,    0.72,    0.18,    0.49
199601,    2.26,   -2.73,    0.40,    0.43
199602,    1.33,    1.78,   -1.07,    0.39
199603,    0.73,    1.51,    0.36,    0.39
199604,    2.06,    5.22,   -4.05,    0.46
199605,    2.36,    3.18,   -0.89,    0.42
199606,   -1.14,   -3.99,    2.38,    0.40
199607,   -5.97,   -4.31,    5.14,    0.45
199608,    2.77,    2.46,   -0.74,    0.41
199609,    5.01,   -0.98,   -2.70,    0.44
199610,    0.86,   -4.44,    4.94,    0.42
199611,    6.25,   -4.05,    1.39,    0.41
199612,   -1.70,    3.17,    1.32,    0.46
199701,    4.98,   -1.93,   -1.46,    0.45
199702,   -0.49,   -3.20,    5.69,    0.39
199703,   -5.02,   -0.35,    3.40,    0.43
199704,    4.04,   -5.78,    0.07,    0.43
199705,    6.74,    5.19,   -4.12,    0.49
199706,    4.10,    1.24,    1.59,    0.37
199707,    7.33,   -2.73,    0.29,    0.43
199708,   -4.15,    7.31,    1.20,    0.41
199709,    5.35,    2.53,    0.38,    0.44
199710,   -3.80,   -0.77,    2.25,    0.42
199711,    2.98,   -5.13,    1.19,    0.39
199712,    1.32,   -2.47,    3.86,    0.48
199801,    0.15,   -1.06,   -1.59,    0.43
199802,    7.04,    0.34,   -0.85,    0.39
199803,    4.76,   -1.11,    1.41,    0.39
199804,    0.73,    0.02,    0.90,    0.43
199805,   -3.07,   -3.35,    3.40,    0.40
199806,    3.18,   -3.23,   -1.96,    0.41
199807,   -2.46,   -4.91,   -1.76,    0.40
199808,  -16.08,   -5.68,    3.60,    0.43
199809,    6.15,    0.10,   -3.37,    0.46
199810,    7.13,   -3.12,   -2.29,    0.32
199811,    6.10,    1.20,   -3.23,    0.31
199812,    6.16,   -0.51,   -4.18,    0.38
199901,    3.50,    0.78,   -4.62,    0.35
199902,   -4.08,   -6.06,    1.88,    0.35
199903,    3.45,   -3.77,   -2.77,    0.43
199904,    4.33,    3.95,    2.41,    0.37
199905,   -2.46,    3.37,    2.30,    0.34
199906,    4.77,    3.14,   -3.27,    0.40
199907,   -3.49,    2.60,   -0.42,    0.38
199908,   -1.38,   -0.94,   -1.84,    0.39
199909,   -2.79,    3.44,   -3.48,    0.39
199910,    6.12,   -6.61,   -3.37,    0.39
199911,    3.37,    7.22,   -6.16,    0.36
199912,    7.72,    6.99,   -8.32,    0.44
200001,   -4.74,    5.79,   -1.89,    0.41
200002,    2.45,   21.48,   -9.81,    0.43
200003,    5.20,  -17.29,    8.23,    0.47
200004,   -6.40,   -6.63,    7.25,    0.46
200005,   -4.42,   -6.11,    4.83,    0.50
200006,    4.64,   12.80,   -8.41,    0.40
200007,   -2.51,   -3.08,    8.33,    0.48
200008,    7.03,   -0.63,   -1.37,    0.50
200009,   -5.45,   -1.73,    7.17,    0.51
200010,   -2.76,   -3.93,    5.64,    0.56
200011,  -10.72,   -3.39,   12.34,    0.51
200012,    1.19,    0.73,    7.60,    0.50
200101,    3.13,    6.68,   -5.11,    0.54
200102,  -10.05,   -0.74,   12.48,    0.38
200103,   -7.26,    0.27,    6.43,    0.42
200104,    7.94,    0.56,   -4.69,    0.39
200105,    0.72,    2.50,    3.36,    0.32
200106,   -1.94,    6.27,   -1.13,    0.28
200107,   -2.13,   -4.19,    5.21,    0.30
200108,   -6.46,    2.48,    2.30,    0.31
200109,   -9.25,   -6.25,    1.46,    0.28
200110,    2.46,    7.49,   -7.66,    0.22
200111,    7.54,   -0.47,    2.22,    0.17
200112,    1.60,    4.73,    0.85,    0.15
200201,   -1.44,    1.19,    3.44,    0.14
200202,   -2.29,   -1.00,    2.16,    0.13
200203,    4.24,    4.21,    1.07,    0.13
200204,   -5.20,    5.96,    3.88,    0.15
200205,   -1.38,   -3.21,    1.53,    0.14
200206,   -7.21,    4.28,   -0.03,    0.13
200207,   -8.18,   -5.26,   -3.87,    0.15
200208,    0.50,   -2.87,    3.31,    0.14
200209,  -10.35,    2.43,    1.44,    0.14
200210,    7.84,   -3.41,   -3.95,    0.14
200211,    5.96,    3.23,   -1.27,    0.12
200212,   -5.76,    0.11,    2.13,    0.11
200301,   -2.57,    1.30,   -0.73,    0.10
200302,   -1.88,   -0.46,   -1.38,    0.09
200303,    1.09,    1.04,   -1.93,    0.10
200304,    8.22,    0.67,    1.17,    0.10
200305,    6.05,    4.71,    0.53,    0.09
200306,    1.42,    1.74,    0.19,    0.10
200307,    2.35,    5.11,   -1.19,    0.07
200308,    2.34,    2.62,    1.54,    0.07
200309,   -1.24,    0.80,    0.10,    0.08
200310,    6.08,    2.63,    1.92,    0.07
200311,    1.35,    2.00,    1.81,    0.07
200312,    4.29,   -2.71,    1.60,    0.08
200401,    2.15,    2.54,    2.46,    0.07
200402,    1.40,   -1.52,    0.87,    0.06
200403,   -1.32,    1.75,    0.23,    0.09
200404,   -1.83,   -1.74,   -3.02,    0.08
200405,    1.17,   -0.25,   -0.23,    0.06
200406,    1.86,    2.28,    1.23,    0.08
200407,   -4.06,   -3.80,    3.22,    0.10
200408,    0.08,   -1.49,    1.00,    0.11
200409,    1.60,    3.02,   -0.02,    0.11
200410,    1.43,    0.15,   -0.25,    0.11
200411,    4.54,    3.73,    1.45,    0.15
200412,    3.43,   -0.03,   -0.21,    0.16
200501,   -2.76,   -1.72,    2.07,    0.16
200502,    1.89,   -0.57,    1.54,    0.16
200503,   -1.97,   -1.40,    2.05,    0.21
200504,   -2.61,   -3.93,    0.05,    0.21
200505,    3.65,    2.88,   -0.59,    0.24
200506,    0.57,    2.59,    2.81,    0.23
200507,    3.92,    2.90,   -0.78,    0.24
200508,   -1.22,   -0.98,    1.34,    0.30
200509,    0.49,   -0.67,    0.69,    0.29
200510,   -2.02,   -1.23,    0.41,    0.27
200511,    3.61,    0.99,   -1.20,    0.31
200512,   -0.25,   -0.41,    0.22,    0.32
200601,    3.04,    5.42,    1.09,    0.35
200602,   -0.30,   -0.40,   -0.37,    0.34
200603,    1.46,    3.45,    0.55,    0.37
200604,    0.73,   -1.43,    2.34,    0.36
200605,   -3.57,   -2.98,    2.39,    0.43
200606,   -0.35,   -0.38,    0.80,    0.40
200607,   -0.78,   -3.99,    2.62,    0.40
200608,    2.03,    1.01,   -2.04,    0.42
200609,    1.84,   -1.34,    0.06,    0.41
200610,    3.23,    1.72,   -0.26,    0.41
200611,    1.71,    0.72,    0.11,    0.42
200612,    0.87,   -1.13,    2.71,    0.40
200701,    1.40,    0.14,   -0.70,    0.44
200702,   -1.96,    1.18,   -0.12,    0.38
200703,    0.68,    0.15,   -0.94,    0.43
200704,    3.49,   -2.17,   -1.43,    0.44
200705,    3.24,    0.23,   -0.62,    0.41
200706,   -1.96,    0.76,   -1.07,    0.40
200707,   -3.73,   -2.61,   -3.73,    0.40
200708,    0.92,   -0.14,   -1.89,    0.42
200709,    3.22,   -2.22,   -2.23,    0.32
200710,    1.80,    0.12,   -3.11,    0.32
200711,   -4.83,   -2.93,   -0.94,    0.34
200712,   -0.87,    0.16,   -0.52,    0.27
200801,   -6.36,   -0.98,    4.01,    0.21
200802,   -3.09,   -0.41,   -0.84,    0.13
200803,   -0.93,    0.77,    0.35,    0.17
200804,    4.60,   -1.72,   -1.09,    0.18
200805,    1.86,    2.95,   -1.53,    0.18
200806,   -8.44,    1.24,   -2.70,    0.17
200807,   -0.77,    2.56,    5.27,    0.15
200808,    1.53,    3.50,    1.48,    0.13
200809,   -9.24,   -1.24,    5.90,    0.15
200810,  -17.23,   -2.52,   -2.22,    0.08
200811,   -7.86,   -2.87,   -6.30,    0.03
200812,    1.74,    3.49,    0.07,    0.00
200901,   -8.12,    0.18,  -11.11,    0.00
200902,  -10.10,    0.13,   -6.91,    0.01
200903,    8.95,    0.00,    3.34,    0.02
200904,   10.18,    5.28,    5.26,    0.01
200905,    5.21,   -2.52,    0.37,    0.00
200906,    0.43,    2.66,   -2.72,    0.01
200907,    7.72,    1.87,    4.84,    0.01
200908,    3.33,   -1.08,    7.63,    0.01
200909,    4.08,    2.43,    1.04,    0.01
200910,   -2.59,   -4.34,   -4.20,    0.00
200911,    5.56,   -2.39,   -0.33,    0.00
200912,    2.75,    6.04,   -0.17,    0.01
201001,   -3.36,    0.40,    0.43,    0.00
201002,    3.40,    1.19,    3.22,    0.00
201003,    6.31,    1.48,    2.21,    0.01
201004,    2.00,    4.87,    2.89,    0.01
201005,   -7.89,    0.09,   -2.44,    0.01
201006,   -5.57,   -1.81,   -4.70,    0.01
201007,    6.93,    0.24,   -0.30,    0.01
201008,   -4.77,   -2.95,   -1.96,    0.01
201009,    9.54,    3.96,   -3.17,    0.01
201010,    3.88,    1.21,   -2.49,    0.01
201011,    0.60,    3.77,   -0.88,    0.01
201012,    6.82,    0.67,    3.78,    0.01
201101,    1.99,   -2.44,    0.77,    0.01
201102,    3.49,    1.47,    1.24,    0.01
201103,    0.46,    2.56,   -1.88,    0.01
201104,    2.90,   -0.32,   -2.48,    0.00
201105,   -1.27,   -0.65,   -2.00,    0.00
201106,   -1.75,   -0.14,   -0.38,    0.00
201107,   -2.35,   -1.29,   -0.91,    0.00
201108,   -5.99,   -3.07,   -2.40,    0.01
201109,   -7.59,   -3.33,   -1.75,    0.00
201110,   11.35,    3.30,    0.12,    0.00
201111,   -0.28,   -0.17,   -0.46,    0.00
201112,    0.74,   -0.60,    1.61,    0.00
201201,    5.05,    2.06,   -0.94,    0.00
201202,    4.42,   -1.86,    0.43,    0.00
201203,    3.11,   -0.66,    1.12,    0.00
201204,   -0.85,   -0.41,   -0.77,    0.00
201205,   -6.19,    0.09,   -1.06,    0.01
201206,    3.89,    0.64,    0.59,    0.00
201207,    0.79,   -2.72,   -0.12,    0.00
201208,    2.55,    0.48,    1.30,    0.01
201209,    2.73,    0.54,    1.58,    0.01
201210,   -1.76,   -1.17,    3.56,    0.01
201211,    0.78,    0.61,   -0.83,    0.01
201212,    1.18,    1.52,    3.53,    0.01
201301,    5.57,    0.31,    0.95,    0.00
201302,    1.29,   -0.33,    0.10,    0.00
201303,    4.03,    0.83,   -0.23,    0.00
201304,    1.55,   -2.36,    0.50,    0.00
201305,    2.80,    1.72,    2.67,    0.00
201306,   -1.20,    1.32,    0.05,    0.00
201307,    5.65,    1.87,    0.57,    0.00
201308,   -2.71,    0.26,   -2.68,    0.00
201309,    3.77,    2.90,   -1.23,    0.00
201310,    4.18,   -1.56,    1.26,    0.00
201311,    3.13,    1.29,    0.28,    0.00
201312,    2.81,   -0.46,   -0.01,    0.00
201401,   -3.32,    0.92,   -2.02,    0.00
201402,    4.65,    0.37,   -0.31,    0.00
201403,    0.43,   -1.87,    4.92,    0.00
201404,   -0.19,   -4.20,    1.14,    0.00
201405,    2.06,   -1.89,   -0.13,    0.00
201406,    2.61,    3.09,   -0.69,    0.00
201407,   -2.04,   -4.28,    0.02,    0.00
201408,    4.24,    0.38,   -0.43,    0.00
201409,   -1.97,   -3.72,   -1.35,    0.00
201410,    2.52,    4.22,   -1.83,    0.00
201411,    2.55,   -2.05,   -3.09,    0.00
201412,   -0.06,    2.49,    2.27,    0.00
201501,   -3.11,   -0.54,   -3.61,    0.00
201502,    6.13,    0.60,   -1.86,    0.00
201503,   -1.12,    3.07,   -0.41,    0.00
201504,    0.59,   -3.04,    1.83,    0.00
201505,    1.36,    0.92,   -1.12,    0.00
201506,   -1.53,    2.90,   -0.78,    0.00
201507,    1.54,   -4.20,   -4.07,    0.00
201508,   -6.04,    0.36,    2.80,    0.00
201509,   -3.07,   -2.63,    0.58,    0.00
201510,    7.75,   -1.87,   -0.45,    0.00
201511,    0.56,    3.60,   -0.38,    0.00
201512,   -2.17,   -2.81,   -2.59,    0.01
201601,   -5.77,   -3.39,    2.07,    0.01
201602,   -0.08,    0.81,   -0.57,    0.02
201603,    6.96,    0.75,    1.10,    0.02
201604,    0.92,    0.67,    3.21,    0.01
201605,    1.78,   -0.19,   -1.65,    0.01
201606,   -0.05,    0.59,   -1.45,    0.02
201607,    3.95,    2.51,   -1.29,    0.02
201608,    0.50,    1.17,    3.11,    0.02
201609,    0.25,    2.13,   -1.21,    0.02
201610,   -2.02,   -4.41,    4.12,    0.02
201611,    4.86,    5.67,    8.21,    0.01
201612,    1.82,    0.09,    3.60,    0.03
201701,    1.94,   -1.13,   -2.74,    0.04
201702,    3.57,   -2.04,   -1.67,    0.04
201703,    0.17,    1.13,   -3.33,    0.03
201704,    1.09,    0.72,   -2.13,    0.05
201705,    1.06,   -2.52,   -3.75,    0.06
201706,    0.78,    2.23,    1.49,    0.06
201707,    1.87,   -1.46,   -0.22,    0.07
201708,    0.16,   -1.65,   -2.07,    0.09
201709,    2.51,    4.45,    3.09,    0.09
201710,    2.25,   -1.93,    0.22,    0.09
201711,    3.12,   -0.56,   -0.05,    0.08
201712,    1.06,   -1.32,    0.03,    0.09
201801,    5.58,   -3.18,   -1.36,    0.11
201802,   -3.65,    0.26,   -1.03,    0.11
201803,   -2.35,    4.06,   -0.23,    0.12
201804,    0.29,    1.10,    0.48,    0.14
201805,    2.65,    5.31,   -3.13,    0.14
201806,    0.48,    1.13,   -2.33,    0.14
201807,    3.19,   -2.25,    0.45,    0.16
201808,    3.44,    1.14,   -3.98,    0.16
201809,    0.06,   -2.30,   -1.70,    0.15
201810,   -7.68,   -4.82,    3.43,    0.19
201811,    1.69,   -0.68,    0.26,    0.18
201812,   -9.55,   -2.42,   -1.90,    0.19
201901,    8.41,    2.90,   -0.44,    0.21
201902,    3.40,    2.04,   -2.68,    0.18
201903,    1.10,   -2.98,   -4.05,    0.19
201904,    3.96,   -1.74,    2.17,    0.21
201905,   -6.94,   -1.34,   -2.37,    0.21
201906,    6.93,    0.25,   -0.71,    0.18
201907,    1.19,   -1.94,    0.42,    0.19
201908,   -2.58,   -2.32,   -4.95,    0.16
201909,    1.43,   -0.97,    6.83,    0.18
201910,    2.06,    0.28,   -1.93,    0.15
201911,    3.87,    0.80,   -2.02,    0.12
201912,    2.77,    0.72,    1.79,    0.14
202001,   -0.11,   -3.13,   -6.24,    0.13
202002,   -8.13,    1.03,   -3.79,    0.12
202003,  -13.38,   -4.89,  -14.02,    0.12
202004,   13.65,    2.47,   -1.18,    0.00
202005,    5.58,    2.45,   -4.80,    0.01
202006,    2.46,    2.69,   -2.04,    0.01
202007,    5.77,   -2.28,   -1.53,    0.01
202008,    7.63,   -0.26,   -2.92,    0.01
202009,   -3.63,    0.03,   -2.61,    0.01
202010,   -2.10,    4.41,    4.16,    0.01
202011,   12.47,    5.65,    2.13,    0.01
202012,    4.63,    4.82,   -1.43,    0.01
202101,   -0.03,    7.12,    2.99,    0.00
202102,    2.78,    2.03,    7.18,    0.00
202103,    3.08,   -2.41,    7.41,    0.00
202104,    4.93,   -3.11,   -0.93,    0.00
202105,    0.29,   -0.28,    7.04,    0.00
